comunas,homicidios,violaciones,psupond,x,OK,COD_COMUNA,distrito,Cook
Porvenir,0,35.36693192,462.2567,Porvenir,1,12301,28,-6.355
Pozo Almonte,0,5.575689992,437.4143,Pozo Almonte,1,1401,2,2.535
Primavera,0,0,615,Primavera,1,12302,28,-6.355
Providencia,1.581190162,13.44011638,599.1078,Providencia,1,13123,10,4.74
Puchuncaví,6.042661188,6.042661188,448.5662,Puchuncaví,1,5105,6,-2.38
Pucón,0,23.99880006,485.8049,Pucón,1,9115,23,4.61
Pudahuel,0.364524478,20.04884628,498.3263,Pudahuel,1,13124,8,-2.565
Puente Alto,0.527898791,14.38524206,498.3486,Puente Alto,1,13201,12,4.35
Puerto Montt,0.803390307,18.87967222,503.7414,Puerto Montt,1,10101,26,-2.505
Puerto Octay,0,43.80681196,471.3333,Puerto Octay,1,10302,25,-4.47
Puerto Varas,0,7.271845837,528.3328,Puerto Varas,1,10109,25,-4.47
Pumanque,0,0,484.218,Pumanque,1,6309,16,-1.8
Punitaqui,9.552923194,28.65876958,442.9881,Punitaqui,1,4304,5,-7.57
Punta Arenas,1.59375249,21.51565862,515.9227,Punta Arenas,1,12101,28,-6.355
Puqueldón,0,0,529.1875,Puqueldón,1,10206,26,-2.505
Purén,0,8.821453776,438.6853,Purén,1,9208,22,-2.285
Purranque,0,9.712509713,486.1033,Purranque,1,10303,25,-4.47
Putaendo,0,0,457.0291,Putaendo,1,5705,6,-2.38
Putre,0,81.9000819,412.1667,Putre,1,15201,1,-1.445
Puyehue,0,8.900756564,457.4435,Puyehue,1,10304,25,-4.47
Queilén,0,37.65060241,458.8088,Queilén,1,10207,26,-2.505
Quellón,0,26.31809808,481.298,Quellón,1,10208,26,-2.505
Quemchi,0,54.007345,468.0517,Quemchi,1,10209,26,-2.505
Quilaco,0,0,437.1974,Quilaco,1,8308,21,-3.985
Quilicura,1.800625717,17.10594432,491.8373,Quilicura,1,13125,8,-2.565
Quilleco,0,9.688044953,451.376,Quilleco,1,8309,21,-3.985
Quillón,0,25.73340196,443.0894,Quillón,1,8413,19,-1.05
Quillota,1.126088083,15.76523316,500.0046,Quillota,1,5501,6,-2.38
Quilpué,0.61065346,10.38110882,506.5994,Quilpué,1,5801,6,-2.38
Quinchao,11.16320607,0,479.5659,Quinchao,1,10210,26,-2.505
Quinta De Tilcoco,0,0,477.9706,Quinta de Tilcoco,1,6114,15,-2.575
Quinta Normal,2.349679269,19.97227378,505.2956,Quinta Normal,1,13126,9,-4.675
Quintero,0,3.818397037,475.8839,Quintero,1,5107,6,-2.38
Quirihue,0,8.391373668,459.407,Quirihue,1,8414,19,-1.05
Rancagua,2.393890791,13.96436295,502.5721,Rancagua,1,6101,15,-2.575
Ránquil,0,21.06149958,474.8143,Ránquil,1,8415,19,-1.05
Rauco,0,10.27643613,492.5588,Rauco,1,7305,17,-3.34
Recoleta,0.819336338,31.13478083,494.3265,Recoleta,1,13127,9,-4.675
Renaico,0,11.20197155,436.3476,Renaico,1,9209,22,-2.285
Renca,3.088063861,22.38846299,484.2498,Renca,1,13128,9,-4.675
Rengo,0,25.9390756,480.5505,Rengo,1,6115,15,-2.575
Requínoa,0,15.2468077,491.7233,Requínoa,1,6116,15,-2.575
Retiro,0,11.58144652,471.564,Retiro,1,7405,18,0.165
Rinconada,0,0,481.4681,Rinconada,1,5303,6,-2.38
Río Bueno,3.218331617,22.52832132,468.375,Río Bueno,1,14204,24,-0.855
Río Claro,0,23.04147465,451.5575,Río Claro,1,7108,17,-3.34
Río Hurtado,0,0,430.5638,Río Hurtado,1,4305,5,-7.57
Río Ibáñez,0,0,           ,Río Ibáñez,1,11402,27,-3.075
Río Negro,0,31.02699348,477.9345,Río Negro,1,10305,25,-4.47
Río Verde,0,0,,Río Verde,1,12103,28,-6.355
Romeral,0,20.53107035,493.221,Romeral,1,7306,17,-3.34
Saavedra,0,37.79575176,431.4344,Saavedra,1,9116,23,4.61
Sagrada Familia,0,10.73883162,474.2231,Sagrada Familia,1,7307,17,-3.34
Salamanca,3.892262183,15.56904873,456.6771,Salamanca,1,4204,5,-7.57
San Antonio,1.001321745,14.01850443,473.2125,San Antonio,1,5601,7,3.85
San Bernardo,2.855139727,18.7170271,487.9305,San Bernardo,1,13401,14,1.735
San Carlos,1.945487442,15.56389954,480.8862,San Carlos,1,8416,19,-1.05
